Title,Year,Rated,Released,Runtime,Genre,Actors,Oscars,Award_Wins,Award_Nominations,Box_Office
Top Gun,1986,PG,1986-05-16,109,"Action, Drama","Tom Cruise, Tim Robbins, Kelly McGillis",1,11,9,180258178
Dirty Dancing,1987,PG-13,1987-08-21,100,"Drama, Music, Romance","Patrick Swayze, Jennifer Grey, Jerry Orbach",1,13,9,64577242
Beetlejuice,1988,PG,1988-03-30,92,"Comedy, Fantasy","Alec Baldwin, Geena Davis, Michael Keaton",1,7,11,74664632
Working Girl,1988,R,1988-12-21,113,"Comedy, Drama, Romance","Melanie Griffith, Harrison Ford, Sigourney Weaver",1,9,18,63779477
Batman,1989,PG-13,1989-06-23,126,"Action, Adventure","Michael Keaton, Jack Nicholson, Kim Basinger",1,13,30,251409241
Eternal Sunshine of the Spotless Mind,2004,R,2004-03-19,108,"Drama, Romance, Sci-Fi","Jim Carrey, Kate Winslet, Tom Wilkinson",1,73,111,34400301
Dead Poets Society,1989,PG,1989-06-09,128,"Comedy, Drama","Robin Williams, Robert Sean Leonard, Ethan Hawke",1,20,19,95860116
The Little Mermaid,1989,G,1989-11-17,83,"Animation, Adventure, Family","Jodi Benson, Samuel E. Wright, Rene Auberjonois",2,16,9,111543479
Goodfellas,1990,R,1990-09-21,145,"Biography, Crime, Drama","Robert De Niro, Ray Liotta, Joe Pesci",1,44,38,46909721
Ghost,1990,PG-13,1990-07-13,126,"Drama, Fantasy, Romance","Patrick Swayze, Demi Moore, Whoopi Goldberg",2,18,24,217631306
City Slickers,1991,PG-13,1991-06-07,113,"Comedy, Western","Billy Crystal, Jack Palance, Daniel Stern",1,8,7,124033791
Thelma & Louise,1991,R,1991-05-24,130,"Adventure, Crime, Drama","Susan Sarandon, Geena Davis, Harvey Keitel",1,24,52,45360915
Beauty and the Beast,1991,G,1991-11-22,84,"Animation, Family, Fantasy","Paige O'Hara, Robby Benson, Jesse Corti",2,33,32,218967620
Death Becomes Her,1992,PG-13,1992-07-31,104,"Comedy, Fantasy, Horror","Meryl Streep, Bruce Willis, Goldie Hawn",1,5,16,58422650
The Last of the Mohicans,1992,R,1992-09-25,112,"Action, Adventure, Drama","Daniel Day-Lewis, Madeleine Stowe, Russell Means",1,7,17,75505856
My Cousin Vinny,1992,R,1992-03-13,120,"Comedy, Crime","Joe Pesci, Marisa Tomei, Ralph Macchio",1,5,6,52929168
A River Runs Through It,1992,PG,1992-10-30,123,Drama,"Craig Sheffer, Brad Pitt, Tom Skerritt",1,4,11,43440294
Mrs. Doubtfire,1993,PG-13,1993-11-24,125,"Comedy, Drama","Robin Williams, Sally Field, Pierce Brosnan",1,11,10,219195243
The Fugitive,1993,PG-13,1993-08-06,130,"Action, Crime, Drama","Harrison Ford, Tommy Lee Jones, Sela Ward",1,13,37,183875760
Parasite,2019,R,2019-11-08,132,"Drama, Thriller","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",4,318,266,53847897
Green Book,2018,PG-13,2018-11-16,130,"Biography, Comedy, Drama","Viggo Mortensen, Mahershala Ali, Linda Cardellini",3,58,123,85080171
The Shape of Water,2017,R,2017-12-22,123,"Drama, Fantasy, Romance","Sally Hawkins, Octavia Spencer, Michael Shannon",4,138,350,63859435
Moonlight,2016,R,2016-11-18,111,Drama,"Mahershala Ali, Naomie Harris, Trevante Rhodes",3,235,310,27854932
Spotlight,2015,R,2015-11-20,129,"Biography, Crime, Drama","Mark Ruffalo, Michael Keaton, Rachel McAdams",2,124,145,45055776
Birdman or (The Unexpected Virtue of Ignorance),2014,R,2014-11-14,119,"Comedy, Drama","Michael Keaton, Zach Galifianakis, Edward Norton",4,193,297,42340598
12 Years a Slave,2013,R,2013-11-08,134,"Biography, Drama, History","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender",3,244,338,56671993
Argo,2012,R,2012-10-12,120,"Biography, Drama, History","Ben Affleck, Bryan Cranston, John Goodman",3,96,156,136025503
The Artist,2011,PG-13,2012-01-20,100,"Comedy, Drama, Romance","Jean Dujardin, Bérénice Bejo, John Goodman",5,162,204,44671682
The King's Speech,2010,R,2010-12-25,118,"Biography, Drama, History","Colin Firth, Geoffrey Rush, Helena Bonham Carter",4,109,206,138797449
